,PLAYER_NAME,GROUP_VALUE,TEAM_ABBREVIATION,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK
6,Patrick Beverley,2015-16,HOU,71,35,36,0.493,28.7,3.6,8.4,0.434,1.7,4.4,0.4,0.8,1.2,0.682,1.0,2.5,3.5,3.4,1.3,1.3,0.4,0.5,3.3,1.4,9.9,1.9,22.9,1,0,2,5,1,8,5,3,4,1,3,4,1,7,6,9,8,7,7,6,5,4,10,3,3,7,4,9,6,6,1
10,Trevor Ariza,2015-16,HOU,81,40,41,0.494,35.3,4.4,10.6,0.416,2.3,6.2,0.371,1.6,2.0,0.783,0.8,3.7,4.5,2.3,1.4,2.0,0.3,0.5,2.2,1.4,12.7,0.5,27.1,1,0,3,7,2,13,4,5,5,12,5,5,4,10,13,6,12,14,13,7,10,1,9,8,7,16,5,11,7,9,2
7,CJ Miles,2015-16,IND,64,34,30,0.531,22.9,4.0,9.9,0.409,2.2,6.0,0.367,1.5,1.9,0.75,0.4,2.3,2.7,1.0,1.1,0.8,0.5,0.4,2.2,1.7,11.8,0.0,19.3,0,0,7,7,5,8,5,3,3,7,3,3,5,5,5,12,8,4,4,9,3,6,2,3,4,3,3,11,3,3,1
12,George Hill,2015-16,IND,74,41,33,0.554,34.1,4.4,10.0,0.441,1.7,4.2,0.408,1.5,2.0,0.76,0.8,3.2,4.0,3.5,1.4,1.1,0.2,0.4,2.0,2.6,12.1,1.3,24.9,0,0,6,7,1,14,2,5,4,14,2,4,4,9,9,16,5,2,2,4,6,1,10,6,7,6,5,12,4,5,2
4,Ian Mahinmi,2015-16,IND,71,41,30,0.577,25.6,3.7,6.3,0.589,0.0,0.0,0.0,1.9,3.2,0.587,1.9,5.2,7.1,1.5,1.4,0.9,1.1,0.6,3.1,2.4,9.3,1.6,24.6,9,0,4,4,4,8,1,1,1,2,3,8,3,1,1,10,2,1,1,1,1,2,2,1,1,2,1,1,1,1,1
1,Jordan Hill,2015-16,IND,73,40,33,0.548,20.7,3.8,7.5,0.506,0.0,0.0,0.0,1.2,1.7,0.712,2.1,4.0,6.2,1.2,1.3,0.5,0.5,0.4,2.1,1.2,8.8,0.7,19.8,9,0,1,1,4,3,3,3,2,3,2,7,2,5,5,4,4,3,3,2,2,2,8,4,5,5,3,3,3,3,1
1,Monta Ellis,2015-16,IND,81,44,37,0.543,33.8,5.4,12.6,0.427,1.1,3.5,0.309,2.0,2.5,0.786,0.5,2.8,3.3,4.7,2.5,1.9,0.5,0.4,2.1,2.4,13.8,1.3,29.4,1,0,3,4,5,5,10,11,11,11,5,6,7,11,11,5,7,9,9,7,9,4,1,13,10,11,11,3,11,9,1
6,Myles Turner,2015-16,IND,60,32,28,0.533,22.8,4.4,8.8,0.498,0.1,0.2,0.214,1.5,2.0,0.727,1.1,4.4,5.5,0.7,1.1,0.4,1.4,0.4,2.6,2.0,10.3,-1.2,22.4,4,0,5,5,3,4,7,5,7,3,7,7,7,7,7,7,7,7,7,7,7,7,7,3,7,7,7,7,7,7,1
6,Paul George,2015-16,IND,81,44,37,0.543,34.8,7.5,17.9,0.418,2.6,7.0,0.371,5.6,6.5,0.86,1.0,6.0,7.0,4.1,3.3,1.9,0.4,1.0,2.8,5.4,23.1,2.2,41.0,15,0,1,5,1,9,7,5,4,11,7,6,8,2,2,6,3,4,4,5,3,5,10,4,4,2,5,10,3,3,4
10,Blake Griffin,2015-16,LAC,35,22,13,0.629,33.4,8.6,17.2,0.499,0.2,0.5,0.333,4.0,5.5,0.727,1.5,6.9,8.4,4.9,2.4,0.8,0.5,0.3,2.7,5.3,21.4,5.1,40.3,13,0,8,8,11,7,8,2,3,6,9,10,7,8,8,8,7,4,4,6,6,7,7,13,6,10,7,4,8,8,8
6,Chris Paul,2015-16,LAC,74,50,24,0.676,32.7,7.0,15.1,0.462,1.6,4.4,0.371,4.0,4.4,0.896,0.5,3.7,4.2,10.0,2.6,2.1,0.2,0.4,2.5,4.0,19.5,7.5,43.6,38,0,6,3,8,9,11,5,3,13,5,4,8,9,9,5,12,12,13,7,2,9,7,8,6,10,4,5,6,5,12
8,DeAndre Jordan,2015-16,LAC,77,51,26,0.662,33.7,4.6,6.6,0.703,0.0,0.0,0.0,3.5,8.0,0.43,3.5,10.3,13.8,1.2,1.4,0.7,2.3,0.3,2.7,6.0,12.7,5.7,38.5,49,0,6,4,8,4,3,3,3,4,2,6,2,1,1,10,5,3,3,7,7,3,2,11,5,1,1,3,2,1,1
7,JJ Redick,2015-16,LAC,75,50,25,0.667,28.0,5.6,11.7,0.48,2.7,5.6,0.475,2.4,2.7,0.888,0.1,1.7,1.9,1.4,1.0,0.6,0.1,0.3,1.8,2.6,16.3,6.8,21.5,0,0,5,3,6,5,8,4,4,1,4,7,1,5,5,12,11,10,12,11,10,4,11,3,2,3,4,2,6,2,1
4,Jamal Crawford,2015-16,LAC,79,51,28,0.646,26.9,4.8,11.9,0.404,1.5,4.4,0.34,3.1,3.4,0.904,0.3,1.6,1.8,2.3,1.4,0.7,0.2,0.3,1.5,2.8,14.2,2.1,20.9,0,0,6,1,14,5,12,12,12,14,12,12,14,10,10,2,15,12,12,19,17,18,16,12,10,6,12,5,15,8,1
8,D'Angelo Russell,2015-16,LAL,80,17,63,0.213,28.2,4.9,12.0,0.41,1.6,4.6,0.351,1.8,2.4,0.737,0.6,2.8,3.4,3.3,2.5,1.2,0.2,0.6,1.8,2.2,13.2,-6.8,23.8,1,0,2,4,1,8,7,8,8,6,8,8,6,8,8,8,3,7,7,8,8,4,8,1,6,8,8,7,8,7,2
10,Jordan Clarkson,2015-16,LAL,79,17,62,0.215,32.3,6.0,13.9,0.433,1.4,4.1,0.347,2.1,2.6,0.804,1.2,2.8,4.0,2.4,1.7,1.1,0.1,1.1,2.1,2.3,15.5,-7.9,25.8,1,0,3,8,2,9,1,3,4,8,8,7,5,3,3,6,1,2,2,5,3,1,9,1,1,1,4,10,2,2,1
6,Julius Randle,2015-16,LAL,81,17,64,0.21,28.2,4.4,10.3,0.429,0.1,0.4,0.278,2.4,3.3,0.715,2.1,8.1,10.2,1.8,1.8,0.7,0.4,1.0,3.0,2.6,11.3,-8.4,27.5,34,1,2,7,1,7,6,7,7,6,6,7,4,7,7,7,4,3,1,7,7,6,5,4,5,7,7,7,7,2,3
0,Kobe Bryant,2015-16,LAL,66,13,53,0.197,28.2,6.0,16.9,0.358,2.0,7.1,0.285,3.5,4.3,0.826,0.6,3.1,3.7,2.8,2.0,0.9,0.2,0.5,1.7,2.6,17.6,-8.6,27.7,2,0,13,18,1,20,18,17,16,20,2,1,17,18,18,14,19,18,18,18,19,18,18,19,18,11,17,20,17,17,10
10,Lou Williams,2015-16,LAL,67,14,53,0.209,28.5,4.2,10.3,0.408,1.6,4.8,0.344,5.3,6.3,0.83,0.5,2.1,2.5,2.5,1.6,0.9,0.3,0.6,1.6,3.9,15.3,-6.0,24.1,0,0,7,17,1,19,5,12,12,11,7,7,11,3,2,12,7,5,5,14,10,9,2,12,4,4,6,19,8,7,2
